school,band_name,city,state,level,district,enrollment,parades,parades_marched,last_appearance,boa_finalist_years,school_url,band_url,director_name,director_email,director_phone,booster_org,source_urls,score,tier,notes
"Martin Luther King, Jr. High School","MLK ""Kings of Halftime,""",Lithonia,GA,,,,Rose 2017,1,2017,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,36.0,B,nces: no match
Walton High School,Marching Raider Band,Marietta,GA,High,Cobb County,2685,Rose 2015,1,2015,,http://www.waltonhigh.org,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,36.0,B,no band page found in 1 pages crawled
East Hills Middle School,East Hills Middle School Band,Bethlehem,PA,Middle,,,Philadelphia 2022; Philadelphia 2019; Philadelphia 2016,3,2022,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,33.0,B,nces: no match
Baldwinsville Central School,District Marching Bees,Baldwinsville,NY,,,,Rose 2020,1,2020,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,26.0,B,nces: no match
Braden River High School,Braden River High School Band,Bradenton,FL,High,MANATEE,1801,Philadelphia 2018,1,2018,,http://www.manateeschools.net/bradenriver,http://www.manateeschools.net/bradenriver,,,,Communications Show submenu for Arts and Communications Band Boosters Pirate Nation News Business a,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade; http://www.manateeschools.net/bradenriver,26.0,B,social: https://www.facebook.com/BRHSPirateNation; social: https://www.facebook.com/BradenRiverHSBands; social: https://www.instagram.com/bradenriverhsbands
Crestview High School,Crestview High School Band,Crestview,FL,High,OKALOOSA,2397,Philadelphia 2018,1,2018,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,26.0,B,no website in NCES
Franklin Regional High School,Panther Band,Murrysville,PA,High,Franklin Regional SD,1106,Rose 2016,1,2016,,http://highschool.frsdk12.org/,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,26.0,B,nces: matched 'Franklin Regional SHS' (0.92); no band page found in 1 pages crawled
Gulf Coast High School,Gulf Coast High School Marching Sharks,Naples,FL,High,COLLIER,1831,Philadelphia 2019,1,2019,,http://www.collierschools.com/gch,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,26.0,B,no band page found in 1 pages crawled
Londonderry High School,Marching Lancer Band,Londonderry,NH,High,Londonderry School District,1308,Rose 2018,1,2018,,http://www.londonderry.org/lhs,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,26.0,B,site crawl blocked: HTTP 404 for http://www.londonderry.org/lhs
Salem High School,Salem High School Marching Band,,VA,,,,Philadelphia 2022,1,2022,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade,26.0,B,"nces: low-confidence match 'Salem High, Salem' (0.74); other candidates: Salem High (Virginia Beach); no website in NCES"
